tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Romagnani, Gian Paolo;;L'istruzione universitaria in Piemonte dal 1799 al 1814 ;;;All'ombra dell'aquila imperiale: trasformazioni e continuità istituzionali nei territori sabaudi in età napoleonica, 1802-1814. Atti del convegno, Torino, 15-18 ottobre 1990;Roma;Ministero per i Beni culturali e ambientali;1994;2;;;;536-569
articolo in volume miscellaneo;Stalla, Robert;;"Der römische Palazzo della Sapienza als ""Gymnasion"": ein Hauptwerk Pirro Ligorios, Planung und Zuschreibungsfrage";Millon, Henry A. - Scott Munshower, Susan;a cura di;An architectural progress in the Renaissance and Baroque : sojourns in and out of Italy. Essays in architectural history presented to Hellmut Hager on his 66th birthday;University Park;Pennsylvania State University;1992;2;;;;112-145
articolo in volume miscellaneo;Nardi, Paolo;;Note sui rapporti tra “Studia” e pubblici poteri nei secoli XII-XIII ;Alzati, Cesare;a cura di;Cristianità ed Europa. Miscellanea di studi in onore di Luigi Prosdocimi ;Roma - Freiburg - Wien;Herder;1994;2;;;;609-633
articolo in volume miscellaneo;De Benedictis, Angela;;Da consuetudo a lex. L’irrevocabilità di un privilegio cittadino. Bologna e lo Stato della Chiesa nei secoli XVI-XVIII;Dölemeyer, Barbara - Mohnhaupt, Heinz  ;a cura di;Das Privileg im europaischen Vergleich;Frankfurt am Main;Klostermann;1997;2;;;;207-232
poligrafia;;;;;;Docenti, studenti e laureati della Facoltà di medicina e chirurgia dell'Università di Sassari;Sassari;TAS;1997;2;;;;342 e 687
articolo in volume miscellaneo;Recami, Erasmo;;I manoscritti scientifici lasciati da E. Majorana;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale (Desenzano del Garda, 4-8 giugno 1991);Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;1237-1244
articolo in volume miscellaneo;Tagliaferri, Guido;;Il riordinamento e l’utilizzazione dell’Archivio storico  dell’Osservatorio di Brera;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale (Desenzano del Garda, 4-8 giugno 1991);Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;247-257
articolo in volume miscellaneo;Cau, Paolo;;Didattica e sperimentazione nell’Arsenale di Torino: il manoscritto del corso degli esperimenti di chimica metallurgica e docimastica (1752-59) conservato nella Biblioteca universitaria di Sassari;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale, Desenzano del Garda, 4-8 giugno 1991;Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;873-894
articolo in volume miscellaneo;Luzzati, Michele;;Dottorati in medicina conferiti a Firenze nel 1472 da Judah Messer Leon da Montecchio a Bonaventura da Terracino e ad Abramo da Montalcino;;;Medicina e salute nelle Marche dal Rinascimento all'età napoleonica. Atti del Convegno, Ancona-Recanati, 28-30 maggio 1992;Ancona;Deputazione di storia patria per le Marche;1992 (1994);2;«Atti e Memorie della Deputazione di storia patria per le Marche»;97;;41-53
articolo in volume miscellaneo;Brambilla, Elena;;Dagli antidoti contro la peste alle Farmacopee per i poveri: farmacia, alchimia e chimica a Milano, 1600-1800;Betri, Maria Luisa-Bigazzi, Duccio;a cura di;Studi in onore di Franco della Peruta;Milano;FrancoAngeli;1996;2;;;;303-352
articolo in volume miscellaneo;Olivieri, Achille;;Il presente e la didattica della storia;Xodo, Carla;a cura di;Apprendere all'Università. Atti del Convegno (23-24-25 ottobre 1996);Padova;Cleup;1997;3;;;;159-176
articolo in volume miscellaneo;Nicolosi Grassi, Giuseppina ;;"Il ""Liber privilegiorum"" del capitolo e lo ""Studium"" di Catania";Zito, Gaetano ;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;123-135
articolo in volume miscellaneo;Boaga, Emanuele;;Presenza di religiosi siciliani nelle Università medievali fuori Sicilia: il caso dei carmelitani;Zito, Gaetano;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;137-175
articolo in volume miscellaneo;Pace Gravina, Giacomo;;Giuristi e apparati di Curia a Catania nel Quattrocento;Zito, Gaetano;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;67-89
articolo in volume miscellaneo;Sottili, Agostino;;"""Sunt nobis Papie omina iucunda"": il carteggio tra Konrad Nutzel ed Anton Kress, prevosto di San Lorenzo a Norimberga ";Fera, Vincenzo - Ferraù, Giacomo;a cura di;Filologia umanistica. Per Gianvito Resta;Padova;Antenore;1997;3;;;;1729-1765
articolo in volume miscellaneo;Cesarini Martinelli, Lucia;;Poliziano professore allo Studio fiorentino;;;La Toscana al tempo di Lorenzo il Magnifico. Politica, economia, cultura, arte. Atti del Convegno (Firenze, Pisa, Siena, 5-8 novembre 1992);Ospedaletto (Pisa);Pacini;1996;3;;;;463-482
articolo in volume miscellaneo;Fatica, Michele;;Gli alunni del Collegium Sinicum di Napoli, la missione Macartney presso l’imperatore Qianlong e la richiesta di libertà di culto per i cristiani cinesi (1792-1793);Carletti, Sandra M. - Sacchetti, Maurizia - Santangelo, Paolo;a cura di;Studi in onore di Lionello Lanciotti;Napoli;Istituto Universitario orientale;1996;3;;;;525-565
articolo in volume miscellaneo;Di Noto Marella, Sergio;;La nobilitazione del professore dopo vent'anni d'insegnamento: applicazione di C.12.15 in età moderna;;;Nozione, formazione e interpretazione del diritto dall'età romana alle esperienze moderne. Ricerche dedicate al professor Filippo Gallo;Napoli;Jovene;1997;4;;;;75-96
articolo in volume miscellaneo;Frova, Carla;;Scuole e Università;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 2. La circolazione del testo;Roma;Salerno;1994;5;;;;331-360
articolo in volume miscellaneo;Sergi, Giuseppe;;Le corti e il mecenatismo;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 2. La circolazione del testo;Roma;Salerno;1994;5;;;;299-329
articolo in volume miscellaneo;Garfagnini, Gian Carlo;;La scienza;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 1. La produzione del testo;Roma;Salerno;1993;5;;;;601-634
